INDIV	Mother	Father	Family
A537-165	P10	P21	A537
A537-166	P10	P21	A537
A537-167	P10	P21	A537
A537-168	P10	P21	A537
A537-169	P10	P21	A537
A537-170	P10	P21	A537
A537-171	P10	P21	A537
A537-172	P10	P21	A537
A541-173	P18	P23	A541
A541-174	P18	P23	A541
A541-175	P18	P23	A541
A541-176	P18	P23	A541
A541-177	P18	P23	A541
A541-178	P18	P23	A541
A541-179	P18	P23	A541
A541-180	P18	P23	A541
A541-181	P18	P23	A541
A541-182	P18	P23	A541
A541-183	P18	P23	A541
A541-184	P18	P23	A541
A541-185	P18	P23	A541
A541-186	P18	P23	A541
A541-187	P18	P23	A541
A542-188	P18	P24	A542
A542-189	P18	P24	A542
A542-190	P18	P24	A542
A542-191	P18	P24	A542
A542-192	P18	P24	A542
A542-193	P18	P24	A542
A542-194	P18	P24	A542
A542-195	P18	P24	A542
A542-196	P18	P24	A542
A542-197	P18	P24	A542
A542-198	P18	P24	A542
A542-199	P18	P24	A542
A542-200	P18	P24	A542
A542-201	P18	P24	A542
A542-202	P18	P24	A542
A545-203	P19	P24	A545
A545-204	P19	P24	A545
A545-205	P19	P24	A545
A545-206	P19	P24	A545
A545-207	P19	P24	A545
A545-208	P19	P24	A545
A545-209	P19	P24	A545
A545-210	P19	P24	A545
A545-211	P19	P24	A545
A545-212	P19	P24	A545
A545-213	P19	P24	A545
A545-214	P19	P24	A545
A545-215	P19	P24	A545
A545-216	P19	P24	A545
A545-217	P19	P24	A545
A546-218	P19	P9	A546
A546-219	P19	P9	A546
A546-220	P19	P9	A546
A546-221	P19	P9	A546
A546-222	P19	P9	A546
A546-223	P19	P9	A546
A546-224	P19	P9	A546
A546-225	P19	P9	A546
A546-226	P19	P9	A546
A546-227	P19	P9	A546
A546-228	P19	P9	A546
A546-229	P19	P9	A546
A546-230	P19	P9	A546
A546-231	P19	P9	A546
A546-232	P19	P9	A546
A551-233	P4	P9	A551
A551-234	P4	P9	A551
A551-235	P4	P9	A551
A551-236	P4	P9	A551
A551-237	P4	P9	A551
A551-238	P4	P9	A551
A551-239	P4	P9	A551
A551-240	P4	P9	A551
A551-241	P4	P9	A551
A551-242	P4	P9	A551
A551-243	P4	P9	A551
A551-244	P4	P9	A551
A551-245	P4	P9	A551
A551-246	P4	P9	A551
A551-247	P4	P9	A551
