probIn scale
0.1514486 10.90613
0.1427041 10.46398
0.1475995 10.44044
0.1315969 10.42122
0.126973 10.10748
0.1299477 9.880933
0.1691238 9.491872
0.2153757 9.596554
0.1941608 9.290282
0.1806292 9.463288
0.1890416 9.800785
0.1838497 9.399559
0.1908007 9.571346
0.203678 9.359888
0.2191699 10.19828
0.2660714 10.2295
0.2676662 10.37824
0.2465952 10.31749
0.2600829 10.90495
0.2480396 10.79638
0.2566532 10.81852
0.2885229 10.66043
0.2604007 10.5262
0.2745275 10.46402
0.2640062 10.00506
0.2520553 10.2155
0.2528444 10.44876
0.2815968 10.22953
0.2607258 10.64144
0.2562758 10.57802
0.259983 9.803672
0.2552768 9.86434
0.2902755 9.583065
0.2827043 9.650708
0.2680578 9.39941
0.2619161 9.416733
0.2555797 9.188195
0.2325115 8.891151
0.243295 8.701646
0.258558 8.759116
0.2673693 9.025697
0.2686519 8.810162
0.3281385 9.041193
0.3361035 9.177073
0.3060293 9.574808
0.2958952 8.972334
0.3056109 8.686567
0.3160101 8.796167
0.3025154 9.545855
0.3459776 8.848338
0.322451 9.345711
0.3179429 9.944813
0.2875258 9.514035
0.2794257 9.71832
0.3122113 9.298718
0.2855407 9.107278
0.2773616 9.100262
0.2539508 9.547006
0.2637038 9.59725
0.2881493 9.92864
0.278294 10.18321
0.3008871 10.5346
0.2919277 10.46828
0.300039 10.40927
0.25046 10.02739
0.2694911 9.737704
0.2671544 9.841194
0.2951542 10.17674
0.3088192 11.00558
0.3042674 10.65627
0.2923286 10.63579
0.2748632 10.26895
0.2834979 10.36132
0.2861115 10.57216
0.3088002 10.24822
0.3382106 10.26129
0.3425039 9.758072
0.3069787 9.636557
0.3078314 9.856413
0.3071593 10.45745
0.3357407 10.11345
0.3528763 9.841253
0.3110942 10.02983
0.3232248 10.03559
0.3343375 9.743631
0.334627 10.33324
0.3551157 10.25676
0.315355 9.88108
0.3229897 9.799365
0.3463228 9.334253
0.3520462 9.462722
0.3753498 9.570443
0.3754892 9.650574
0.3328155 9.737038
0.3121088 9.917197
0.3758734 9.12966
0.3716341 8.979709
0.3581804 8.941524
0.342154 8.588111
0.2830094 8.692154
0.3315362 8.80773
0.3363992 8.422395
0.3468104 7.764255
0.3831774 7.659754
0.4061425 7.70751
0.4196967 7.9236
0.4259331 7.885271
0.4651021 7.892266
0.4279929 8.538108
0.4175212 8.504936
0.3957848 8.67366
0.3864582 8.546936
0.3745368 8.242302
0.351691 7.452277
0.3252429 7.923702
0.3426753 7.143859
0.3308451 7.147572
0.3610145 6.810391
0.4063549 6.670242
0.4473346 6.652008
0.4333524 6.55341
0.4198604 6.399619
0.4114826 6.551123
0.3772814 6.603333
0.39183 6.694564
0.3842842 6.714598
0.3721098 6.504277
0.3688429 6.336486
0.3848278 6.079084
0.4182308 5.918223
0.4122542 5.55137
0.3877753 5.858567
0.4132299 5.838078
0.3992202 5.910248
0.3905866 5.980017
0.4171209 5.986452
0.3998068 6.029705
0.4223278 6.295737
0.4141755 6.176212
0.4086216 5.89148
0.4125631 5.595113
0.3896093 5.735066
0.3813856 5.929353
0.3753234 6.124855
0.3952295 6.149976
0.4304866 6.251654
0.4306161 5.914512
0.420042 6.059918
0.4386892 5.942043
0.4036779 6.182471
0.3531001 6.080491
0.3311393 6.454021
0.3084577 6.215258
0.2730258 6.259126
0.312497 5.745105
0.3392658 5.935488
0.3245321 5.72356
0.3416777 5.997869
0.3694132 6.067511
0.3407879 5.965038
0.3129131 5.963598
0.3101948 5.819937
0.3056022 5.341525
0.296159 5.369998
0.2616454 5.693759
0.2817693 5.708878
0.3372373 5.418591
0.3393644 5.234514
0.3186514 4.891418
0.3079431 5.094382
0.3676376 4.954401
0.3772381 4.692712
0.3934099 4.744175
0.4195034 4.946784
0.4330208 4.823673
0.4097604 4.862256
0.4150533 5.023671
0.4136025 4.910523
0.3907999 4.747985
0.3702215 4.866011
0.3436841 4.852192
0.3597401 4.659917
0.3955686 4.442183
0.383147 4.560754
0.3998599 4.712518
0.4047043 4.632028
0.446415 4.471046
0.421152 4.57272
0.4030871 4.681381
0.3930414 4.665829
0.4052579 4.640586
0.3845182 4.910898
0.4496392 4.545537
0.435216 4.811667
0.4300999 4.723026
0.3993361 4.735522
0.4051075 4.542555
0.3998975 4.407344
0.4285067 4.006254
0.4133178 4.09228
0.439534 4.126065
0.4359201 3.903094
0.4814181 3.807651
0.5008014 3.732762
0.4730375 3.65706
0.4771346 3.862526
0.5058411 3.876841
0.5324236 3.778342
0.54781 3.914194
0.5467661 3.988307
0.5439561 4.16902
0.5286864 4.031135
0.5650494 3.738783
0.5622816 3.93645
0.4931619 3.702864
0.4492041 3.757122
0.4315082 3.719805
0.4263568 3.717137
0.419044 3.63561
0.4203393 3.269813
0.4087257 2.953495
0.4067919 2.959677
0.4374337 2.911508
0.4304436 2.730906
0.4488447 2.558508
0.4828645 2.467713
0.4717453 2.416816
0.5029881 2.449075
0.486449 2.608917
0.492213 2.619407
0.554881 2.745877
0.5818572 2.603254
0.5795863 2.701906
0.5519163 2.435721
0.5066018 2.379052
0.5009337 2.315315
0.4919228 2.373523
0.4939 2.239531
0.5382824 2.228709
0.5141059 2.303098
0.5255061 2.304027
0.5403749 2.287332
0.5150165 2.319216
0.5426135 2.420018
0.5469032 2.513353
0.5065524 2.531143
0.5478123 2.661413
0.5852882 2.598758
0.5867271 2.776725
0.5789238 2.729654
0.5932984 2.633855
0.5901409 2.687871
0.5459671 2.987016
0.552664 3.058966
0.4768495 2.96014
0.4617876 3.04519
0.5001389 2.827638
0.447478 3.087668
0.4145772 3.174312
0.4801596 3.210943
0.5038031 3.07361
0.4850569 3.102113
0.4684726 3.038736
0.4409515 3.193309
0.4344932 3.194433
0.4810629 3.075235
0.5011396 3.111423
0.5159181 3.026308
0.5101985 3.139448
0.5132939 3.059122
0.5435289 2.985343
0.5626269 2.93403
0.5656556 2.914278
0.5534548 2.993062
0.5536884 3.076086
0.4918884 3.105876
0.5157139 2.934045
0.4893788 3.14173
0.4851679 3.205738
0.4913324 3.268841
0.51076 3.430312
0.5473136 3.409122
0.4901272 3.400996
0.4426207 3.513786
0.4698052 3.519753
0.4919999 3.407501
0.5103953 3.586991
0.5145851 3.443613
0.5569002 3.407867
0.5598975 3.433789
0.6059086 3.404133
0.6281899 3.254025
0.6250791 3.210959
0.6047116 3.468462
0.593523 3.491554
0.5879981 3.622084
0.5887487 3.86906
0.5564271 3.777114
0.5843595 3.915584
0.6055408 4.017648
0.6278437 4.224331
0.6327925 4.03837
0.6240637 3.900217
0.6239033 3.790597
0.6453459 3.857808
0.6325399 4.13079
